timestamp,input_time_ms,value
2025-11-26T07:44:27.719Z,87,ok
2025-11-26T07:44:27.865Z,71,ok
2025-11-26T07:44:28.012Z,76,ok
2025-11-26T07:44:28.169Z,62,ok
2025-11-26T07:44:28.278Z,46,ok
2025-11-26T07:44:28.443Z,75,ok
2025-11-26T07:44:28.571Z,67,ok
2025-11-26T07:44:28.741Z,76,ok
2025-11-26T07:44:28.858Z,57,ok
2025-11-26T07:44:29.023Z,80,ok
2025-11-26T07:44:29.191Z,87,ok
2025-11-26T07:44:29.327Z,62,ok
2025-11-26T07:44:29.480Z,80,ok
2025-11-26T07:44:29.645Z,68,ok
2025-11-26T07:44:29.809Z,19,ok
2025-11-26T07:44:29.967Z,93,ok
2025-11-26T07:44:30.116Z,78,ok
2025-11-26T07:44:30.291Z,102,ok
2025-11-26T07:44:30.430Z,81,ok
2025-11-26T07:44:30.605Z,106,ok
2025-11-26T07:44:30.805Z,62,ok
2025-11-26T07:44:30.902Z,220,ok
2025-11-26T07:44:31.040Z,72,ok
2025-11-26T07:44:31.188Z,90,ok
2025-11-26T07:44:31.375Z,78,ok
2025-11-26T07:44:31.527Z,73,ok
2025-11-26T07:44:31.657Z,51,ok
2025-11-26T07:44:31.819Z,105,ok
2025-11-26T07:44:32.009Z,99,ok
2025-11-26T07:44:32.151Z,48,ok
2025-11-26T07:44:32.267Z,47,ok
2025-11-26T07:44:32.429Z,92,ok
2025-11-26T07:44:32.584Z,64,ok
2025-11-26T07:44:32.729Z,78,ok
2025-11-26T07:44:32.875Z,69,ok
2025-11-26T07:44:33.030Z,75,ok
2025-11-26T07:44:33.167Z,64,ok
2025-11-26T07:44:33.334Z,68,ok
2025-11-26T07:44:33.481Z,199,ok
2025-11-26T07:44:33.649Z,42,ok
2025-11-26T07:44:33.767Z,44,ok
2025-11-26T07:44:33.913Z,84,ok
2025-11-26T07:44:34.165Z,73,ok
2025-11-26T07:44:34.245Z,225,ok
2025-11-26T07:44:34.391Z,84,ok
2025-11-26T07:44:34.575Z,101,ok
2025-11-26T07:44:34.732Z,260,ok
2025-11-26T07:44:34.907Z,61,ok
2025-11-26T07:44:35.041Z,44,ok
2025-11-26T07:44:35.189Z,88,ok
2025-11-26T07:44:35.345Z,79,ok
2025-11-26T07:44:35.497Z,80,ok
2025-11-26T07:44:35.659Z,64,ok
2025-11-26T07:44:35.785Z,53,ok
2025-11-26T07:44:35.932Z,63,ok
2025-11-26T07:44:36.089Z,61,ok
2025-11-26T07:44:36.204Z,53,ok
2025-11-26T07:44:36.375Z,102,ok
2025-11-26T07:44:36.529Z,89,ok
2025-11-26T07:44:36.713Z,86,ok
2025-11-26T07:44:36.849Z,57,ok
2025-11-26T07:44:37.021Z,83,ok
2025-11-26T07:44:37.180Z,75,ok
2025-11-26T07:44:37.426Z,159,ok
2025-11-26T07:44:40.719Z,19963,overloaded
2025-11-26T07:44:41.286Z,432,overloaded
2025-11-26T07:44:41.538Z,610,overloaded
2025-11-26T07:44:41.551Z,4014,too-fast
2025-11-26T07:44:41.638Z,9,too-fast
2025-11-26T07:44:41.735Z,25,overloaded
2025-11-26T07:44:41.861Z,77,too-fast
